title,genres,popularity,release_date
Syriana,Drama|Thriller,2.123053,23/11/2005
Rumble Fish,Action|Adventure|Crime|Drama|Romance,1.054645,20/10/1983
The Wanderers,Drama,1.045574,13/07/1979
The Cabinet of Dr. Caligari,Drama|Horror|Thriller|Crime,1.572642,25/02/1920
Stand by Me,Crime|Drama,5.338218,22/08/1986
Muriel's Wedding,Drama|Comedy|Romance,1.8302610000000001,29/09/1994
Young Adam,Drama|Thriller|Crime|Romance,1.189534,26/09/2003
The Godfather,Drama|Crime,8.696299,14/03/1972
Some Like It Hot,Comedy|Romance,3.883068,18/03/1959
The Godfather: Part II,Drama|Crime,6.988872,20/12/1974
Natural Born Killers,Crime|Thriller|Drama,3.201718,25/08/1994
The Godfather: Part III,Crime|Drama|Thriller,4.4106879999999995,24/12/1990
High Fidelity,Comedy|Drama|Romance|Music,1.9861360000000001,17/03/2000
King Kong,Action|Adventure|Drama|Horror,1.5254299999999998,07/04/1933
About a Boy,Drama|Comedy|Romance,3.2560290000000003,26/04/2002
Zatoichi,Adventure|Drama|Action,2.260538,06/09/2003
The Killing,Drama|Action|Thriller|Crime,2.7016080000000002,08/05/1956
The War of the Roses,Comedy|Drama|Thriller,1.733843,08/12/1989
In China They Eat Dogs,Action|Comedy|Crime,0.9010940000000001,10/09/1999
Ghost,Fantasy|Drama|Thriller|Mystery|Romance,3.245491,12/07/1990
Willy Wonka & the Chocolate Factory,Family|Fantasy,2.9342580000000003,29/06/1971
Live and Let Die,Adventure|Action|Thriller,3.928583,05/07/1973
King Kong,Adventure|Drama|Action,5.3748949999999995,14/12/2005
Stolen Kisses,Comedy|Drama|Romance,1.848402,13/08/1968
Oliver Twist,Crime|Drama|Family,2.742204,23/09/2005
Love on the Run,Comedy|Drama|Romance,0.654659,24/01/1979
The 39 Steps,Action|Thriller|Mystery,0.966749,01/06/1935
Cat on a Hot Tin Roof,Drama|Romance,1.735698,17/02/1958
The King of Comedy,Comedy|Drama,2.671776,18/02/1983
Contempt,Drama,1.12415,21/10/1963
Live Flesh,Drama|Romance|Thriller,1.5045520000000001,28/10/1997
Batman,Fantasy|Action,5.169446,23/06/1989
Breathless,Drama|Crime,2.040994,16/03/1960
Ronja Robbersdaughter,Adventure|Drama|Fantasy|Family,2.0558080000000003,20/12/1984
Batman Begins,Action|Crime|Drama,9.809436999999999,10/06/2005
The Silence of the Lambs,Crime|Drama|Thriller,1.505586,01/02/1991
Fargo,Crime|Drama|Thriller,4.745945,05/04/1996
The Edukators,Drama|Comedy,0.580088,25/10/2004
Underworld,Fantasy|Action|Thriller,6.34176,19/09/2003
The Shawshank Redemption,Drama|Crime,10.7546,23/09/1994
Amadeus,Drama|History|Music,3.354214,26/10/1984
Terminator 2: Judgment Day,Action|Thriller|Science Fiction,7.767017999999999,01/07/1991
Strange Days,Crime|Drama|Science Fiction|Thriller,2.498966,13/10/1995
The Apartment,Comedy|Drama|Romance,2.361428,15/06/1960
Pirates of the Caribbean: At World's End,Adventure|Fantasy|Action,11.025689,19/05/2007
Bull Durham,Comedy|Romance,2.010457,15/06/1988
High Noon,Western,2.659092,27/03/1952
Casablanca,Drama|Romance,3.797843,26/11/1942
Barton Fink,Comedy|Drama,1.454793,01/08/1991
A River Runs Through It,Drama,2.3838939999999997,09/10/1992
Desert Hearts,Drama|Romance,0.86301,01/10/1985
Terminator 3: Rise of the Machines,Action|Thriller|Science Fiction,5.894657,02/07/2003
Meet Joe Black,Fantasy|Drama|Mystery,2.594261,12/11/1998
Ocean's Thirteen,Crime|Thriller,4.329217,07/06/2007
Ocean's Eleven,Thriller|Music|Comedy|Crime,2.070232,10/08/1960
The Science of Sleep,Comedy|Drama|Fantasy,0.660337,11/02/2006
Rio Bravo,Western,2.408634,17/03/1959
Swimming Pool,Thriller|Crime,1.483939,18/05/2003
Notorious,Thriller|Drama|Romance,3.061216,15/08/1946
Beverly Hills Cop III,Action|Comedy|Crime,2.607389,24/05/1994
"Rome, Open City",Drama|History,1.492925,27/09/1945
Broken Flowers,Comedy|Drama|Mystery|Romance,1.23351,17/05/2005
The Celebration,Drama,1.45256,20/05/1998
Bruce Almighty,Fantasy|Comedy,6.722697999999999,23/05/2003
Once Upon a Time in America,Drama|Crime,2.668609,16/02/1984
Snow Cake,Romance|Drama,1.212835,09/02/2006
Catwoman,Action|Crime,2.8955509999999998,22/07/2004
"Faster, Pussycat! Kill! Kill!",Action|Crime,1.9446720000000002,06/08/1965
The Million Dollar Hotel,Drama|Thriller,2.163958,09/02/2000
True Romance,Action|Thriller|Crime|Romance,3.3143339999999997,09/09/1993
