Year,Ceremony,Award,Name,Film
1983,56,Directing,Terms of Endearment,James L. Brooks
1983,56,Documentary (Feature),He Makes Me Feel Like Dancin',"Emile Ardolino, Producer"
1983,56,Documentary (Short Subject),Flamenco at 5:15,"Cynthia Scott and Adam Symansky, Producers"
1983,56,Film Editing,The Right Stuff,"Glenn Farr, Lisa Fruchtman, Stephen A. Rotter, Douglas Stewart, Tom Rolf"
1983,56,Foreign Language Film,Fanny & Alexander,Sweden
1983,56,Music (Original Score),The Right Stuff,Bill Conti
1983,56,Music (Original Song Score or Adaptation Score),Yentl,"Song Score by Michel Legrand, Alan Bergman and Marilyn Bergman"
1983,56,Music (Original Song),"""Flashdance...What A Feeling"" from Flashdance",Music by Giorgio Moroder; Lyric by Keith Forsey and Irene Cara
1983,56,Best Picture,Terms of Endearment,"James L. Brooks, Producer"
1983,56,Short Film (Animated),Sundae in New York,"Jimmy Picker, Producer"
1983,56,Short Film (Live Action),Boys and Girls,"Janice L. Platt, Producer"
1983,56,Sound,The Right Stuff,"Mark Berger, Tom Scott, Randy Thom, David MacMillan"
1983,56,Sound Effects Editing,The Right Stuff,Jay Boekelheide
1983,56,Writing (Screenplay Based on Material from Another Medium),Terms of Endearment,James L. Brooks
1983,56,Writing (Screenplay Written Directly for the Screen),Tender Mercies,Horton Foote
1983,56,Special Achievement Award (Visual Effects),Return of the Jedi,"Richard Edlund, Dennis Muren, Ken Ralston, Phil Tippett"
1984,57,Actor in a Leading Role,F. Murray Abraham,Amadeus
1984,57,Actor in a Supporting Role,Haing S. Ngor,The Killing Fields
1984,57,Actress in a Leading Role,Sally Field,Places in the Heart
1984,57,Actress in a Supporting Role,Peggy Ashcroft,A Passage to India
1984,57,Art Direction,Amadeus,Art Direction: Patrizia Von Brandenstein; Set Decoration: Karel Cerny
1984,57,Cinematography,The Killing Fields,Chris Menges
1984,57,Costume Design,Amadeus,Theodor Pistek
1984,57,Directing,Amadeus,Milos Forman
1984,57,Documentary (Feature),The Times of Harvey Milk,"Robert Epstein and Richard Schmiechen, Producers"
1984,57,Documentary (Short Subject),The Stone Carvers,"Marjorie Hunt and Paul Wagner, Producers"
1984,57,Film Editing,The Killing Fields,Jim Clark
1984,57,Foreign Language Film,Dangerous Moves,Switzerland
1984,57,Makeup,Amadeus,"Paul LeBlanc, Dick Smith"
1984,57,Music (Original Score),A Passage to India,Maurice Jarre
1984,57,Music (Original Song Score),Purple Rain,Prince
1984,57,Music (Original Song),"""I Just Called To Say I Love You"" from The Woman in Red",Music and Lyric by Stevie Wonder
1984,57,Best Picture,Amadeus,"Saul Zaentz, Producer"
1984,57,Short Film (Animated),Charade,"Jon Minnis, Producer"
1984,57,Short Film (Live Action),Up,"Mike Hoover, Producer"
1984,57,Sound,Amadeus,"Mark Berger, Tom Scott, Todd Boekelheide, Chris Newman"
1984,57,Visual Effects,Indiana Jones and the Temple of Doom,"Dennis Muren, Michael McAlister, Lorne Peterson, George Gibbs"
1984,57,Writing (Screenplay Based on Material from Another Medium),Amadeus,Peter Shaffer
1984,57,Writing (Screenplay Written Directly for the Screen),Places in the Heart,Robert Benton
1984,57,Special Achievement Award (Sound Effects Editing),The River,Kay Rose
1985,58,Actor in a Leading Role,William Hurt,Kiss of the Spider Woman
1985,58,Actor in a Supporting Role,Don Ameche,Cocoon
1985,58,Actress in a Leading Role,Geraldine Page,The Trip to Bountiful
1985,58,Actress in a Supporting Role,Anjelica Huston,Prizzi's Honor
1985,58,Art Direction,Out of Africa,Art Direction: Stephen Grimes; Set Decoration: Josie MacAvin
1985,58,Cinematography,Out of Africa,David Watkin
1985,58,Costume Design,Ran,Emi Wada
1985,58,Directing,Out of Africa,Sydney Pollack
1985,58,Documentary (Feature),Broken Rainbow,"Maria Florio and Victoria Mudd, Producers"
1985,58,Documentary (Short Subject),Witness to War: Dr. Charlie Clements,"David Goodman, Producer"
1985,58,Film Editing,Witness,Thom Noble
1985,58,Foreign Language Film,The Official Story,Argentina
1985,58,Makeup,Mask,"Michael Westmore, Zoltan Elek"
1985,58,Music (Original Score),Out of Africa,John Barry
1985,58,Music (Original Song),"""Say You, Say Me"" from White Nights",Music and Lyric by Lionel Richie
1985,58,Best Picture,Out of Africa,"Sydney Pollack, Producer"
1985,58,Short Film (Animated),Anna & Bella,"Cilia Van Dijk, Producer"
1985,58,Short Film (Live Action),Molly's Pilgrim,"Jeff Brown and Chris Pelzer, Producers"
1985,58,Sound,Out of Africa,"Chris Jenkins, Gary Alexander, Larry Stensvold, Peter Handford"
1985,58,Sound Effects Editing,Back to the Future,"Charles L. Campbell, Robert Rutledge"
1985,58,Visual Effects,Cocoon,"Ken Ralston, Ralph McQuarrie, Scott Farrar, David Berry"
1985,58,Writing (Screenplay Based on Material from Another Medium),Out of Africa,Kurt Luedtke
1985,58,Writing (Screenplay Written Directly for the Screen),Witness,"Screenplay by Earl W. Wallace, William Kelley; Story by William Kelley, Pamela Wallace, Earl W. Wallace"
1986,59,Actor in a Leading Role,Paul Newman,The Color of Money
1986,59,Actor in a Supporting Role,Michael Caine,Hannah and Her Sisters
1986,59,Actress in a Leading Role,Marlee Matlin,Children of a Lesser God
1986,59,Actress in a Supporting Role,Dianne Wiest,Hannah and Her Sisters
1986,59,Art Direction,A Room with a View,"Art Direction: Gianni Quaranta, Brian Ackland-Snow; Set Decoration: Brian Savegar, Elio Altamura"
1986,59,Cinematography,The Mission,Chris Menges
1986,59,Costume Design,A Room with a View,"Jenny Beavan, John Bright"
1986,59,Directing,Platoon,Oliver Stone
1986,59,Documentary (Feature),Artie Shaw: Time Is All You've Got,"Brigitte Berman, Producer"
1986,59,Documentary (Feature),Down and Out in America,"Joseph Feury and Milton Justice, Producers"
1986,59,Documentary (Short Subject),"Women--for America, for the World ","Vivienne Verdon-Roe, Producer"
1986,59,Film Editing,Platoon,Claire Simpson
1986,59,Foreign Language Film,The Assault,The Netherlands
1986,59,Makeup,The Fly,"Chris Walas, Stephan Dupuis"
1986,59,Music (Original Score),'Round Midnight,Herbie Hancock
1986,59,Music (Original Song),"""Take My Breath Away"" from Top Gun",Music by Giorgio Moroder; Lyric by Tom Whitlock
1986,59,Best Picture,Platoon,"Arnold Kopelson, Producer"
1986,59,Short Film (Animated),A Greek Tragedy,"Linda Van Tulden and Willem Thijssen, Producers"
1986,59,Short Film (Live Action),Precious Images,"Chuck Workman, Producer"
1986,59,Sound,Platoon,"John K. Wilkinson, Richard Rogers, Charles 'Bud' Grenzbach,  Simon Kaye"
1986,59,Sound Effects Editing,Aliens,Don Sharpe
1986,59,Visual Effects,Aliens,"Robert Skotak, Stan Winston, John Richardson, Suzanne Benson"
1986,59,Writing (Screenplay Based on Material from Another Medium),A Room with a View,Ruth Prawer Jhabvala
1986,59,Writing (Screenplay Written Directly for the Screen),Hannah and Her Sisters,Woody Allen
1987,60,Actor in a Leading Role,Michael Douglas,Wall Street
1987,60,Actor in a Supporting Role,Sean Connery,The Untouchables
1987,60,Actress in a Leading Role,Cher,Moonstruck
1987,60,Actress in a Supporting Role,Olympia Dukakis,Moonstruck
1987,60,Art Direction,The Last Emperor,"Art Direction: Ferdinando Scarfiotti; Set Decoration: Bruno Cesari, Osvaldo Desideri"
1987,60,Cinematography,The Last Emperor,Vittorio Storaro
1987,60,Costume Design,The Last Emperor,James Acheson
1987,60,Directing,The Last Emperor,Bernardo Bertolucci
1987,60,Documentary (Feature),The Ten-Year Lunch: The Wit and Legend of the Algonquin Round Table,"Aviva Slesin, Producer"
1987,60,Documentary (Short Subject),Young at Heart,"Sue Marx and Pamela Conn, Producers"
1987,60,Film Editing,The Last Emperor,Gabriella Cristiani
1987,60,Foreign Language Film,Babette's Feast,Denmark
1987,60,Makeup,Harry and the Hendersons,Rick Baker
1987,60,Music (Original Score),The Last Emperor,"Ryuichi Sakamoto, David Byrne, Cong Su"
1987,60,Music (Original Song),"""(I've Had) The Time Of My Life"" from Dirty Dancing","Music by Franke Previte, John DeNicola and Donald Markowitz; Lyric by Franke Previte"
1987,60,Best Picture,The Last Emperor,"Jeremy Thomas, Producer"
1987,60,Short Film (Animated),The Man Who Planted Trees,"Frédéric Back, Producer"
1987,60,Short Film (Live Action),Ray's Male Heterosexual Dance Hall,"Jonathan Sanger and Jana Sue Memel, Producers"
1987,60,Sound,The Last Emperor,"Bill Rowe, Ivan Sharrock"
1987,60,Visual Effects,Innerspace,"Dennis Muren, William George, Harley Jessup, Kenneth Smith"
1987,60,Writing (Screenplay Based on Material from Another Medium),The Last Emperor,"Mark Peploe, Bernardo Bertolucci"
1987,60,Writing (Screenplay Written Directly for the Screen),Moonstruck,John Patrick Shanley
1987,60,Special Achievement Award (Sound Effects Editing),RoboCop,"Stephen Flick, John Pospisil"
1988,61,Actor in a Leading Role,Dustin Hoffman,Rain Man
1988,61,Actor in a Supporting Role,Kevin Kline,A Fish Called Wanda
1988,61,Actress in a Leading Role,Jodie Foster,The Accused
1988,61,Actress in a Supporting Role,Geena Davis,The Accidental Tourist
1988,61,Art Direction,Dangerous Liaisons,Art Direction: Stuart Craig; Set Decoration: Gerard James
1988,61,Cinematography,Mississippi Burning,Peter Biziou
1988,61,Costume Design,Dangerous Liaisons,James Acheson
1988,61,Directing,Rain Man,Barry Levinson
1988,61,Documentary (Feature),Hotel Terminus: The Life and Times of Klaus Barbie,"Marcel Ophuls, Producer"
1988,61,Documentary (Short Subject),You Don't Have to Die,"William Guttentag and Malcolm Clarke, Producers"
1988,61,Film Editing,Who Framed Roger Rabbit,Arthur Schmidt
1988,61,Foreign Language Film,Pelle the Conqueror,Denmark
1988,61,Makeup,Beetlejuice,"Ve Neill, Steve La Porte, Robert Short"
1988,61,Music (Original Score),The Milagro Beanfield War,Dave Grusin
1988,61,Music (Original Song),"""Let The River Run"" from Working Girl",Music and Lyric by Carly Simon
1988,61,Best Picture,Rain Man,"Mark Johnson, Producer"
1988,61,Short Film (Animated),Tin Toy,"John Lasseter, William Reeves"
1988,61,Short Film (Live Action),The Appointments of Dennis Jennings,"Dean Parisot, Steven Wright"
1988,61,Sound,Bird,"Les Fresholtz, Dick Alexander, Vern Poore, Willie D. Burton"
1988,61,Sound Effects Editing,Who Framed Roger Rabbit,"Charles L. Campbell, Louis L. Edemann"
1988,61,Visual Effects,Who Framed Roger Rabbit,"Ken Ralston, Richard Williams, Edward Jones, George Gibbs"
1988,61,Writing (Screenplay Based on Material from Another Medium),Dangerous Liaisons,Christopher Hampton
1988,61,Writing (Screenplay Written Directly for the Screen),Rain Man,"Screenplay by Ronald Bass, Barry Morrow; Story by Barry Morrow"
1988,61,Special Achievement Award,Richard Williams,Who Framed Roger Rabbit
1989,62,Actor in a Leading Role,Daniel Day Lewis,My Left Foot
1989,62,Actor in a Supporting Role,Denzel Washington,Glory
1989,62,Actress in a Leading Role,Jessica Tandy,Driving Miss Daisy
1989,62,Actress in a Supporting Role,Brenda Fricker,My Left Foot
1989,62,Art Direction,Batman,Art Direction: Anton Furst; Set Decoration: Peter Young
1989,62,Cinematography,Glory,Freddie Francis
1989,62,Costume Design,Henry V,Phyllis Dalton
1989,62,Directing,Born on the Fourth of July,Oliver Stone
1989,62,Documentary (Feature),Common Threads: Stories from the Quilt,"Robert Epstein and Bill Couturié, Producers"
1989,62,Documentary (Short Subject),The Johnstown Flood,"Charles Guggenheim, Producer"
1989,62,Film Editing,Born on the Fourth of July,"David Brenner, Joe Hutshing"
1989,62,Foreign Language Film,Cinema Paradiso,Italy
1989,62,Makeup,Driving Miss Daisy,"Manlio Rocchetti, Lynn Barber, Kevin Haney"
1989,62,Music (Original Score),The Little Mermaid,Alan Menken
1989,62,Music (Original Song),"""Under The Sea"" from The Little Mermaid",Music by Alan Menken; Lyric by Howard Ashman
1989,62,Best Picture,Driving Miss Daisy,"Richard D. Zanuck and Lili Fini Zanuck, Producers"
1989,62,Short Film (Animated),Balance,"Christoph Lauenstein, Wolfgang Lauenstein"
1989,62,Short Film (Live Action),Work Experience,James Hendrie
1989,62,Sound,Glory,"Donald O. Mitchell, Gregg C. Rudloff, Elliot Tyson, Russell Williams II"
1989,62,Sound Effects Editing,Indiana Jones and the Last Crusade,"Ben Burtt, Richard Hymns"
1989,62,Visual Effects,The Abyss,"John Bruno, Dennis Muren, Hoyt Yeatman, Dennis Skotak"
1989,62,Writing (Screenplay Based on Material from Another Medium),Driving Miss Daisy,Alfred Uhry
1989,62,Writing (Screenplay Written Directly for the Screen),Dead Poets Society,Tom Schulman
1990,63,Actor in a Leading Role,Jeremy Irons,Reversal of Fortune
1990,63,Actor in a Supporting Role,Joe Pesci,Good Fellas
1990,63,Actress in a Leading Role,Kathy Bates,Misery
1990,63,Actress in a Supporting Role,Whoopi Goldberg,Ghost
1990,63,Art Direction,Dick Tracy,Art Direction: Richard Sylbert; Set Decoration: Rick Simpson
1990,63,Cinematography,Dances With Wolves,Dean Semler
1990,63,Costume Design,Cyrano de Bergerac,Franca Squarciapino
1990,63,Directing,Dances With Wolves,Kevin Costner
1990,63,Documentary (Feature),American Dream,"Barbara Kopple and Arthur Cohn, Producers"
1990,63,Documentary (Short Subject),Days of Waiting,"Steven Okazaki, Producer"
1990,63,Film Editing,Dances With Wolves,Neil Travis
1990,63,Foreign Language Film,Journey of Hope,Switzerland
1990,63,Makeup,Dick Tracy,"John Caglione, Jr., Doug Drexler"
1990,63,Music (Original Score),Dances With Wolves,John Barry
1990,63,Music (Original Song),"""Sooner Or Later (I Always Get My Man)"" from Dick Tracy",Music and Lyric by Stephen Sondheim
1990,63,Best Picture,Dances With Wolves,"Jim Wilson and Kevin Costner, Producers"
1990,63,Short Film (Animated),Creature Comforts,Nick Park
1990,63,Short Film (Live Action),The Lunch Date,Adam Davidson
1990,63,Sound,Dances With Wolves,"Jeffrey Perkins, Bill W. Benton, Greg Watkins, Russell Williams II"
1990,63,Sound Effects Editing,The Hunt for Red October,"Cecelia Hall, George Watters II"
1990,63,Writing (Screenplay Based on Material from Another Medium),Dances With Wolves,Michael Blake
1990,63,Writing (Screenplay Written Directly for the Screen),Ghost,Bruce Joel Rubin
1990,63,Special Achievement Award (Visual Effects),Total Recall,"Eric Brevig, Rob Bottin, Tim McGovern, Alex Funke"
1991,64,Actor in a Leading Role,Anthony Hopkins,The Silence of the Lambs
1991,64,Actor in a Supporting Role,Jack Palance,City Slickers
1991,64,Actress in a Leading Role,Jodie Foster,The Silence of the Lambs
1991,64,Actress in a Supporting Role,Mercedes Ruehl,The Fisher King
1991,64,Art Direction,Bugsy,Art Direction: Dennis Gassner; Set Decoration: Nancy Haigh
1991,64,Cinematography,JFK,Robert Richardson
1991,64,Costume Design,Bugsy,Albert Wolsky
1991,64,Directing,The Silence of the Lambs,Jonathan Demme
1991,64,Documentary (Feature),In the Shadow of the Stars,"Allie Light and Irving Saraf, Producers"
1991,64,Documentary (Short Subject),"Deadly Deception: General Electric, Nuclear Weapons and Our Environment ","Debra Chasnoff, Producer"
1991,64,Film Editing,JFK,"Joe Hutshing, Pietro Scalia"
1991,64,Foreign Language Film,Mediterraneo,Italy
1991,64,Makeup,Terminator 2: Judgment Day,"Stan Winston, Jeff Dawn"
1991,64,Music (Original Score),Beauty and the Beast,Alan Menken
1991,64,Music (Original Song),"""Beauty And The Beast"" from Beauty and the Beast",Music by Alan Menken; Lyric by Howard Ashman
1991,64,Best Picture,The Silence of the Lambs,"Edward Saxon, Kenneth Utt and Ron Bozman, Producers"
1991,64,Short Film (Animated),Manipulation,Daniel Greaves
1991,64,Short Film (Live Action),Session Man,"Seth Winston, Rob Fried"
1991,64,Sound,Terminator 2: Judgment Day,"Tom Johnson, Gary Rydstrom, Gary Summers, Lee Orloff"
1991,64,Sound Effects Editing,Terminator 2: Judgment Day,"Gary Rydstrom, Gloria S. Borders"
1991,64,Visual Effects,Terminator 2: Judgment Day,"Dennis Muren, Stan Winston, Gene Warren, Jr., Robert Skotak"
1991,64,Writing (Screenplay Based on Material Previously Produced or Published),The Silence of the Lambs,Ted Tally
1991,64,Writing (Screenplay Written Directly for the Screen),Thelma & Louise,Callie Khouri
1992,65,Actor in a Leading Role,Al Pacino,Scent of a Woman
1992,65,Actor in a Supporting Role,Gene Hackman,Unforgiven
1992,65,Actress in a Leading Role,Emma Thompson,Howards End
1992,65,Actress in a Supporting Role,Marisa Tomei,My Cousin Vinny
1992,65,Art Direction,Howards End,Art Direction: Luciana Arrighi; Set Decoration: Ian Whittaker
1992,65,Cinematography,A River Runs through It,Philippe Rousselot
1992,65,Costume Design,Bram Stoker's Dracula,Eiko Ishioka
1992,65,Directing,Unforgiven,Clint Eastwood
1992,65,Documentary (Feature),The Panama Deception,"Barbara Trent and David Kasper, Producers"
1992,65,Documentary (Short Subject),Educating Peter,"Thomas C. Goodwin and Gerardine Wurzburg, Producers"
1992,65,Film Editing,Unforgiven,Joel Cox
1992,65,Foreign Language Film,Indochine,France
1992,65,Makeup,Bram Stoker's Dracula,"Greg Cannom, Michèle Burke, Matthew W. Mungle"
1992,65,Music (Original Score),Aladdin,Alan Menken
1992,65,Music (Original Song),"""A Whole New World"" from Aladdin",Music by Alan Menken; Lyric by Tim Rice
1992,65,Best Picture,Unforgiven,"Clint Eastwood, Producer"
1992,65,Short Film (Animated),Mona Lisa Descending a Staircase,Joan C. Gratz
1992,65,Short Film (Live Action),Omnibus,Sam Karmann
1992,65,Sound,The Last of the Mohicans,"Chris Jenkins, Doug Hemphill, Mark Smith, Simon Kaye"
1992,65,Sound Effects Editing,Bram Stoker's Dracula,"Tom C. McCarthy, David E. Stone"
1992,65,Visual Effects,Death Becomes Her,"Ken Ralston, Doug Chiang, Doug Smythe, Tom Woodruff, Jr."
1992,65,Writing (Screenplay Based on Material Previously Produced or Published),Howards End,Ruth Prawer Jhabvala
1992,65,Writing (Screenplay Written Directly for the Screen),The Crying Game,Neil Jordan
1993,66,Actor in a Leading Role,Tom Hanks,Philadelphia
1993,66,Actor in a Supporting Role,Tommy Lee Jones,The Fugitive
1993,66,Actress in a Leading Role,Holly Hunter,The Piano
1993,66,Actress in a Supporting Role,Anna Paquin,The Piano
1993,66,Art Direction,Schindler's List,Art Direction: Allan Starski; Set Decoration: Ewa Braun
1993,66,Cinematography,Schindler's List,Janusz Kaminski
1993,66,Costume Design,The Age of Innocence,Gabriella Pescucci
1993,66,Directing,Schindler's List,Steven Spielberg
1993,66,Documentary (Feature),I Am a Promise: The Children of Stanton Elementary School,"Susan Raymond, Alan Raymond"
1993,66,Documentary (Short Subject),Defending Our Lives,"Margaret Lazarus, Renner Wunderlich"
1993,66,Film Editing,Schindler's List,Michael Kahn
1993,66,Foreign Language Film,Belle Epoque,Spain
1993,66,Makeup,Mrs. Doubtfire,"Greg Cannom, Ve Neill, Yolanda Toussieng"
1993,66,Music (Original Score),Schindler's List,John Williams
1993,66,Music (Original Song),"""Streets Of Philadelphia"" from Philadelphia",Music and Lyric by Bruce Springsteen
1993,66,Best Picture,Schindler's List,"Steven Spielberg, Gerald R. Molen and Branko Lustig, Producers"
1993,66,Short Film (Animated),The Wrong Trousers,Nick Park
1993,66,Short Film (Live Action),Black Rider (Schwarzfahrer),Pepe Danquart
1993,66,Sound,Jurassic Park,"Gary Summers, Gary Rydstrom, Shawn Murphy, Ron Judkins"
1993,66,Sound Effects Editing,Jurassic Park,"Gary Rydstrom, Richard Hymns"
1993,66,Visual Effects,Jurassic Park,"Dennis Muren, Stan Winston, Phil Tippett, Michael Lantieri"
1993,66,Writing (Screenplay Based on Material Previously Produced or Published),Schindler's List,Steven Zaillian
1993,66,Writing (Screenplay Written Directly for the Screen),The Piano,Jane Campion
1994,67,Actor in a Leading Role,Tom Hanks,Forrest Gump
1994,67,Actor in a Supporting Role,Martin Landau,Ed Wood
1994,67,Actress in a Leading Role,Jessica Lange,Blue Sky
1994,67,Actress in a Supporting Role,Dianne Wiest,Bullets over Broadway
1994,67,Art Direction,The Madness of King George,Art Direction: Ken Adam; Set Decoration: Carolyn Scott
1994,67,Cinematography,Legends of the Fall,John Toll
1994,67,Costume Design,"The Adventures of Priscilla, Queen of the Desert ","Lizzy Gardiner, Tim Chappel"
1994,67,Directing,Forrest Gump,Robert Zemeckis
1994,67,Documentary (Feature),Maya Lin: A Strong Clear Vision,"Freida Lee Mock, Terry Sanders"
1994,67,Documentary (Short Subject),A Time for Justice,Charles Guggenheim
1994,67,Film Editing,Forrest Gump,Arthur Schmidt
1994,67,Foreign Language Film,Burnt by the Sun,Russia
1994,67,Makeup,Ed Wood,"Rick Baker, Ve Neill, Yolanda Toussieng"
1994,67,Music (Original Score),The Lion King,Hans Zimmer
1994,67,Music (Original Song),"""Can You Feel The Love Tonight"" from The Lion King",Music by Elton John; Lyric by Tim Rice
1994,67,Best Picture,Forrest Gump,"Wendy Finerman, Steve Tisch and Steve Starkey, Producers"
1994,67,Short Film (Animated),Bob's Birthday,"Alison Snowden, David Fine"
1994,67,Short Film (Live Action),Franz Kafka's It's a Wonderful Life,"Peter Capaldi, Ruth Kenley-Letts"
1994,67,Short Film (Live Action),Trevor,"Peggy Rajski, Randy Stone"
1994,67,Sound,Speed,"Gregg Landaker, Steve Maslow, Bob Beemer, David R. B. MacMillan"
1994,67,Sound Effects Editing,Speed,Stephen Hunter Flick
1994,67,Visual Effects,Forrest Gump,"Ken Ralston, George Murphy, Stephen Rosenbaum, Allen Hall"
1994,67,Writing (Screenplay Based on Material Previously Produced or Published),Forrest Gump,Eric Roth
1994,67,Writing (Screenplay Written Directly for the Screen),Pulp Fiction,Screenplay by Quentin Tarantino; Stories by Quentin Tarantino & Roger Avary
1995,68,Actor in a Leading Role,Nicolas Cage,Leaving Las Vegas
1995,68,Actor in a Supporting Role,Kevin Spacey,The Usual Suspects
1995,68,Actress in a Leading Role,Susan Sarandon,Dead Man Walking
1995,68,Actress in a Supporting Role,Mira Sorvino,Mighty Aphrodite
1995,68,Art Direction,Restoration,Eugenio Zanetti
1995,68,Cinematography,Braveheart,John Toll
1995,68,Costume Design,Restoration,James Acheson
1995,68,Directing,Braveheart,Mel Gibson
1995,68,Documentary (Feature),Anne Frank Remembered,Jon Blair
1995,68,Documentary (Short Subject),One Survivor Remembers,Kary Antholis
1995,68,Film Editing,Apollo 13,"Mike Hill, Dan Hanley"
1995,68,Foreign Language Film,Antonia's Line,The Netherlands
1995,68,Makeup,Braveheart,"Peter Frampton, Paul Pattison, Lois Burwell"
1995,68,Music (Original Dramatic Score),The Postman (Il Postino),Luis Enrique Bacalov
1995,68,Music (Original Musical or Comedy Score),Pocahontas,Music by Alan Menken; Lyrics by Stephen Schwartz; Orchestral Score by Alan Menken
1995,68,Music (Original Song),"""Colors Of The Wind"" from Pocahontas",Music by Alan Menken; Lyric by Stephen Schwartz
1995,68,Best Picture,Braveheart,"Mel Gibson, Alan Ladd, Jr. and Bruce Davey, Producers"
1995,68,Short Film (Animated),A Close Shave,Nick Park
1995,68,Short Film (Live Action),Lieberman in Love,"Christine Lahti, Jana Sue Memel"
1995,68,Sound,Apollo 13,"Rick Dior, Steve Pederson, Scott Millan, David MacMillan"
1995,68,Sound Effects Editing,Braveheart,"Lon Bender, Per Hallberg"
1995,68,Visual Effects,Babe,"Scott E. Anderson, Charles Gibson, Neal Scanlan, John Cox"
1995,68,Writing (Screenplay Based on Material Previously Produced or Published),Sense and Sensibility,Emma Thompson
1995,68,Writing (Screenplay Written Directly for the Screen),The Usual Suspects,Christopher McQuarrie
1995,68,Special Achievement Award,John Lasseter,Toy Story
1996,69,Actor in a Leading Role,Geoffrey Rush,Shine
1996,69,Actor in a Supporting Role,"Cuba Gooding, Jr.",Jerry Maguire
1996,69,Actress in a Leading Role,Frances McDormand,Fargo
1996,69,Actress in a Supporting Role,Juliette Binoche,The English Patient
1996,69,Art Direction,The English Patient,Art Direction: Stuart Craig; Set Decoration: Stephenie McMillan
1996,69,Cinematography,The English Patient,John Seale
1996,69,Costume Design,The English Patient,Ann Roth
1996,69,Directing,The English Patient,Anthony Minghella
1996,69,Documentary (Feature),When We Were Kings,"Leon Gast, David Sonenberg"
1996,69,Documentary (Short Subject),Breathing Lessons: The Life and Work of Mark O'Brien,Jessica Yu
1996,69,Film Editing,The English Patient,Walter Murch
1996,69,Foreign Language Film,Kolya,Czech Republic
1996,69,Makeup,The Nutty Professor,"Rick Baker, David LeRoy Anderson"
1996,69,Music (Original Dramatic Score),The English Patient,Gabriel Yared
1996,69,Music (Original Musical or Comedy Score),Emma,Rachel Portman
1996,69,Music (Original Song),"""You Must Love Me"" from Evita",Music by Andrew Lloyd Webber; Lyric by Tim Rice
1996,69,Best Picture,The English Patient,"Saul Zaentz, Producer"
1996,69,Short Film (Animated),Quest,"Tyron Montgomery, Thomas Stellmach"
1996,69,Short Film (Live Action),Dear Diary,"David Frankel, Barry Jossen"
1996,69,Sound,The English Patient,"Walter Murch, Mark Berger, David Parker, Chris Newman"
1996,69,Sound Effects Editing,The Ghost and the Darkness,Bruce Stambler
1996,69,Visual Effects,Independence Day,"Volker Engel, Douglas Smith, Clay Pinney, Joseph Viskocil"
1996,69,Writing (Screenplay Based on Material Previously Produced or Published),Sling Blade,Billy Bob Thornton
1996,69,Writing (Screenplay Written Directly for the Screen),Fargo,"Ethan Coen, Joel Coen"
1997,70,Actor in a Leading Role,Jack Nicholson,As Good as It Gets
1997,70,Actor in a Supporting Role,Robin Williams,Good Will Hunting
1997,70,Actress in a Leading Role,Helen Hunt,As Good as It Gets
1997,70,Actress in a Supporting Role,Kim Basinger,L.A. Confidential
1997,70,Art Direction,Titanic,Art Direction: Peter Lamont; Set Decoration: Michael Ford
1997,70,Cinematography,Titanic,Russell Carpenter
1997,70,Costume Design,Titanic,Deborah L. Scott
1997,70,Directing,Titanic,James Cameron
1997,70,Documentary (Feature),The Long Way Home,"Rabbi Marvin Hier, Richard Trank"
1997,70,Documentary (Short Subject),A Story of Healing,"Donna Dewey, Carol Pasternak"
1997,70,Film Editing,Titanic,"Conrad Buff, James Cameron, Richard A. Harris"
1997,70,Foreign Language Film,Character,The Netherlands
1997,70,Makeup,Men in Black,"Rick Baker, David LeRoy Anderson"
1997,70,Music (Original Dramatic Score),Titanic,James Horner
1997,70,Music (Original Musical or Comedy Score),The Full Monty,Anne Dudley
1997,70,Music (Original Song),"""My Heart Will Go On"" from Titanic",Music by James Horner; Lyric by Will Jennings
1997,70,Best Picture,Titanic,"James Cameron and Jon Landau, Producers"
1997,70,Short Film (Animated),Geri's Game,Jan Pinkava
1997,70,Short Film (Live Action),Visas and Virtue,"Chris Tashima, Chris Donahue"
1997,70,Sound,Titanic,"Gary Rydstrom, Tom Johnson, Gary Summers, Mark Ulano"
1997,70,Sound Effects Editing,Titanic,"Tom Bellfort, Christopher Boyes"
1997,70,Visual Effects,Titanic,"Robert Legato, Mark Lasoff, Thomas L. Fisher, Michael Kanfer"
1997,70,Writing (Screenplay Based on Material Previously Produced or Published),L.A. Confidential,"Brian Helgeland, Curtis Hanson"
1997,70,Writing (Screenplay Written Directly for the Screen),Good Will Hunting,"Ben Affleck, Matt Damon"
1998,71,Actor in a Leading Role,Roberto Benigni,Life Is Beautiful
1998,71,Actor in a Supporting Role,James Coburn,Affliction
1998,71,Actress in a Leading Role,Gwyneth Paltrow,Shakespeare in Love
1998,71,Actress in a Supporting Role,Judi Dench,Shakespeare in Love
1998,71,Art Direction,Shakespeare in Love,Art Direction: Martin Childs; Set Decoration: Jill Quertier
1998,71,Cinematography,Saving Private Ryan,Janusz Kaminski
1998,71,Costume Design,Shakespeare in Love,Sandy Powell
1998,71,Directing,Saving Private Ryan,Steven Spielberg
1998,71,Documentary (Feature),The Last Days,"James Moll, Ken Lipper"
1998,71,Documentary (Short Subject),The Personals: Improvisations on Romance in the Golden Years,Keiko Ibi
1998,71,Film Editing,Saving Private Ryan,Michael Kahn
