Year,Ceremony,Award,Name,Film
1959,32,Short Subject (Cartoon),Moonbird,"John Hubley, Producer"
1959,32,Short Subject (Live Action),The Golden Fish,"Jacques-Yves Cousteau, Producer"
1959,32,Sound,Ben-Hur,"Metro-Goldwyn-Mayer Studio Sound Department, Franklin E. Milton, Sound Director"
1959,32,Special Effects,Ben-Hur,"Visual Effects by A. Arnold Gillespie, Robert MacDonald; Audible Effects by Milo Lory"
1959,32,"Writing (Screenplay, Based on Material from Another Medium)",Room at the Top,Neil Paterson
1959,32,"Writing (Story and Screenplay, Written Directly for the Screen)",Pillow Talk,"Story by Russell Rouse, Clarence Greene; Screenplay by Stanley Shapiro, Maurice Richlin"
1960,33,Actor,Burt Lancaster,Elmer Gantry
1960,33,Actor in a Supporting Role,Peter Ustinov,Spartacus
1960,33,Actress,Elizabeth Taylor,Butterfield 8
1960,33,Actress in a Supporting Role,Shirley Jones,Elmer Gantry
1960,33,Art Direction (Black and White),The Apartment,Art Direction: Alexander Trauner; Set Decoration: Edward G. Boyle
1960,33,Art Direction (Color),Spartacus,"Art Direction: Alexander Golitzen, Eric Orbom; Set Decoration: Russell A. Gausman, Julia Heron"
1960,33,Cinematography (Black and White),Sons and Lovers,Freddie Francis
1960,33,Cinematography (Color),Spartacus,Russell Metty
1960,33,Costume Design (Black and White),The Facts of Life,"Edith Head, Edward Stevenson"
1960,33,Costume Design (Color),Spartacus,"Valles, Bill Thomas"
1960,33,Directing,The Apartment,Billy Wilder
1960,33,Documentary (Feature),The Horse with the Flying Tail,"Larry Lansburgh, Producer"
1960,33,Documentary (Short Subject),Giuseppina,"James Hill, Producer"
1960,33,Film Editing,The Apartment,Daniel Mandell
1960,33,Foreign Language Film,The Virgin Spring,Sweden
1960,33,Music (Music Score of a Dramatic or Comedy Picture),Exodus,Ernest Gold
1960,33,Music (Scoring of a Musical Picture),Song without End (The Story of Franz Liszt),"Morris Stoloff, Harry Sukman"
1960,33,Music (Song),"""Never On Sunday"" from Never on Sunday",Music and Lyrics by Manos Hadjidakis
1960,33,Best Motion Picture,The Apartment,"Billy Wilder, Producer"
1960,33,Short Subject (Cartoon),Munro,"William L. Snyder, Producer"
1960,33,Short Subject (Live Action),Day of the Painter,"Ezra R. Baker, Producer"
1960,33,Sound,The Alamo,"Samuel Goldwyn Studio Sound Department, Gordon E. Sawyer, Sound Director; and Todd-AO Sound Department, Fred Hynes, Sound Director"
