geoid,geoname,precio,fecha
8743,Baleares,185.06583333333333,2021-08-05
8744,Ceuta,185.06875,2021-08-05
8745,Melilla,185.06875,2021-08-05
8741,Península,180.9425,2021-08-06
8742,Canarias,180.9425,2021-08-06
8743,Baleares,180.9425,2021-08-06
8744,Ceuta,180.94875,2021-08-06
8745,Melilla,180.94875,2021-08-06
8741,Península,93.50375,2021-08-07
8742,Canarias,93.50375,2021-08-07
8743,Baleares,93.50375,2021-08-07
8744,Ceuta,93.50375,2021-08-07
8745,Melilla,93.50375,2021-08-07
8741,Península,116.40375,2021-08-08
8742,Canarias,116.40375,2021-08-08
8743,Baleares,116.40375,2021-08-08
8744,Ceuta,116.40375,2021-08-08
8745,Melilla,116.40375,2021-08-08
8741,Península,191.70916666666668,2021-08-09
8742,Canarias,191.70916666666668,2021-08-09
8743,Baleares,191.70916666666668,2021-08-09
8744,Ceuta,191.71583333333334,2021-08-09
8745,Melilla,191.71583333333334,2021-08-09
8741,Península,196.36458333333334,2021-08-10
8742,Canarias,196.36458333333334,2021-08-10
8743,Baleares,196.36458333333334,2021-08-10
8744,Ceuta,196.36708333333334,2021-08-10
8745,Melilla,196.36708333333334,2021-08-10
8741,Península,198.8725,2021-08-11
8742,Canarias,198.8725,2021-08-11
8743,Baleares,198.8725,2021-08-11
8744,Ceuta,198.875,2021-08-11
8745,Melilla,198.875,2021-08-11
8741,Península,201.48125,2021-08-12
8742,Canarias,201.48125,2021-08-12
8743,Baleares,201.48125,2021-08-12
8744,Ceuta,201.48375,2021-08-12
8745,Melilla,201.48375,2021-08-12
8741,Península,203.8675,2021-08-13
8742,Canarias,203.8675,2021-08-13
8743,Baleares,203.8675,2021-08-13
8744,Ceuta,203.87083333333334,2021-08-13
8745,Melilla,203.87083333333334,2021-08-13
8741,Península,145.90666666666667,2021-08-14
8742,Canarias,145.90666666666667,2021-08-14
8743,Baleares,145.90666666666667,2021-08-14
8744,Ceuta,145.90666666666667,2021-08-14
8745,Melilla,145.90666666666667,2021-08-14
8741,Península,141.56875,2021-08-15
8742,Canarias,141.56875,2021-08-15
8743,Baleares,141.56875,2021-08-15
8744,Ceuta,141.56875,2021-08-15
8745,Melilla,141.56875,2021-08-15
8741,Península,176.37791666666666,2021-08-16
8742,Canarias,176.37791666666666,2021-08-16
8743,Baleares,176.37791666666666,2021-08-16
8744,Ceuta,176.38791666666665,2021-08-16
8745,Melilla,176.38791666666665,2021-08-16
8741,Península,177.65708333333333,2021-08-17
8742,Canarias,177.65708333333333,2021-08-17
8743,Baleares,177.65708333333333,2021-08-17
8744,Ceuta,177.66458333333333,2021-08-17
8745,Melilla,177.66458333333333,2021-08-17
8741,Península,195.05458333333334,2021-08-18
8742,Canarias,195.05458333333334,2021-08-18
8743,Baleares,195.05458333333334,2021-08-18
8744,Ceuta,195.06166666666667,2021-08-18
8745,Melilla,195.06166666666667,2021-08-18
8741,Península,200.4425,2021-08-19
8742,Canarias,200.4425,2021-08-19
8743,Baleares,200.4425,2021-08-19
8744,Ceuta,200.4475,2021-08-19
8745,Melilla,200.4475,2021-08-19
8741,Península,202.90833333333333,2021-08-20
8742,Canarias,202.90833333333333,2021-08-20
8743,Baleares,202.90833333333333,2021-08-20
8744,Ceuta,202.91083333333333,2021-08-20
