Marco Albarello,M,33.0,1994,Cross Country Skiing,Gold
Marco Albarello,M,37.0,1998,Cross Country Skiing,Silver
Ruslan Vladimirovich Albegov,M,24.0,2012,Weightlifting,Bronze
David Albelda Aliqus,M,23.0,2000,Football,Silver
Reinhard Alber,M,20.0,1984,Cycling,Bronze
Alberto Alberani Samaritani,M,29.0,1976,Water Polo,Silver
Flrin Albert,M,18.0,1960,Football,Bronze
Nely Carla Alberto Francisca,F,29.0,2012,Handball,Bronze
Ebbe Gustav Bertil Albertsson (-Andersson),M,26.0,1948,Athletics,Bronze
Abramo Albini,M,20.0,1968,Rowing,Bronze
Islam-Beka Said-Tsilimovich Albiyev,M,19.0,2008,Wrestling,Gold
Sylvia Albrecht (-Heckendorf),F,17.0,1980,Speed Skating,Bronze
Brigitte Albrecht-Loretan,F,31.0,2002,Cross Country Skiing,Bronze
John Robert Albrechtson,M,39.0,1976,Sailing,Gold
"David Donald ""Dave"" Albritton",M,23.0,1936,Athletics,Silver
Anatoly Mikhaylovich Albul,M,24.0,1960,Wrestling,Bronze
Aldair Nascimento dos Santos,M,30.0,1996,Football,Bronze
Andrs Aldama Cabrera,M,20.0,1976,Boxing,Silver
Andrs Aldama Cabrera,M,24.0,1980,Boxing,Gold
"Frederick Pitt ""Fred"" Alderman",M,22.0,1928,Athletics,Gold
"Joan ""Jody"" Alderson (-Braskamp)",F,17.0,1952,Swimming,Bronze
David Alegre Biosca,M,23.0,2008,Hockey,Silver
Ramn Alegre Biosca,M,27.0,2008,Hockey,Silver
Jo Qesem Ayela Aleh,F,26.0,2012,Sailing,Gold
Jo Qesem Ayela Aleh,F,30.0,2016,Sailing,Silver
Virgilijus Alekna,M,28.0,2000,Athletics,Gold
Virgilijus Alekna,M,32.0,2004,Athletics,Gold
Virgilijus Alekna,M,36.0,2008,Athletics,Bronze
Boris Viktorovich Aleksandrov,M,20.0,1976,Ice Hockey,Gold
Rumen Aleksandrov,M,20.0,1980,Weightlifting,Silver
Veniamin Veniaminovich Aleksandrov,M,22.0,1960,Ice Hockey,Bronze
Veniamin Veniaminovich Aleksandrov,M,26.0,1964,Ice Hockey,Gold
Veniamin Veniaminovich Aleksandrov,M,30.0,1968,Ice Hockey,Gold
Vladimir Petrovich Aleksandrov,M,26.0,1984,Bobsleigh,Bronze
Larisa Aleksandrova-Popova,F,19.0,1976,Rowing,Silver
Larisa Aleksandrova-Popova,F,23.0,1980,Rowing,Gold
Artur Aleksanyan,M,20.0,2012,Wrestling,Bronze
Artur Aleksanyan,M,24.0,2016,Wrestling,Gold
Vasily Ivanovich Alekseyev,M,30.0,1972,Weightlifting,Gold
Vasily Ivanovich Alekseyev,M,34.0,1976,Weightlifting,Gold
Galina Aleksandrovna Alekseyeva,F,17.0,1964,Diving,Bronze
Milan Aleksi,M,26.0,2012,Water Polo,Bronze
Milan Aleksi,M,30.0,2016,Water Polo,Gold
Alessandra dos Santos de Oliveira,F,22.0,1996,Basketball,Silver
Alessandra dos Santos de Oliveira,F,26.0,2000,Basketball,Bronze
Alex Sandro Lobo Silva,M,21.0,2012,Football,Silver
Lisa Alexander,F,27.0,1996,Synchronized Swimming,Silver
Michael O'Donel Bjarne Alexander,M,24.0,1960,Fencing,Silver
Buffy-Lynne Alexander-Williams,F,23.0,2000,Rowing,Bronze
Marc Robert Alexandre,M,24.0,1984,Judo,Bronze
Marc Robert Alexandre,M,28.0,1988,Judo,Gold
"Alexandre ""Alexandre Pato"" Rodrigues da Silva",M,18.0,2008,Football,Bronze
"Alexandre ""Alexandre Pato"" Rodrigues da Silva",M,22.0,2012,Football,Silver
Constantin Alexandru,M,26.0,1980,Wrestling,Silver
Ion Alexe,M,26.0,1972,Boxing,Silver
Vladimir Petrovich Aleynik,M,23.0,1976,Diving,Bronze
Vladimir Petrovich Aleynik,M,27.0,1980,Diving,Silver
Yevgeny Vasilyevich Aleynikov,M,33.0,2000,Shooting,Bronze
Abdoul Razak Issoufou Alfaga,M,21.0,2016,Taekwondo,Silver
Lidiya Nikolayevna Alfeyeva,F,30.0,1976,Athletics,Bronze
Alfonso Prez Muoz,M,19.0,1992,Football,Gold
"Stephen Todd ""Steve"" Alford",M,19.0,1984,Basketball,Gold
Hans Daniel Alfredsson,M,33.0,2006,Ice Hockey,Gold
Hans Daniel Alfredsson,M,41.0,2014,Ice Hockey,Silver
"Zenny ""Algodo"" de Azevedo",M,23.0,1948,Basketball,Bronze
"Zenny ""Algodo"" de Azevedo",M,35.0,1960,Basketball,Bronze
Ulf Hkan Gran Algotsson,M,27.0,1994,Ice Hockey,Gold
Sara Anneli Algotsson Ostholt,F,37.0,2012,Equestrianism,Silver
Nasir Ali,M,25.0,1984,Hockey,Gold
Nia Sifaatihii Ali,F,27.0,2016,Athletics,Silver
Syed Mushtaq Ali,M,22.0,1964,Hockey,Gold
mile Ali Khan,M,17.0,1920,Athletics,Silver
Rahim Aliabadi,M,29.0,1972,Wrestling,Silver
