region,fecha,casos,omicron
South East,16/11/2021,2673,False
South East,16/11/2021,5,True
South East,17/11/2021,2539,False
South East,17/11/2021,4,True
South East,18/11/2021,2571,False
South East,19/11/2021,1804,False
South East,19/11/2021,3,True
South East,20/11/2021,1477,False
South East,21/11/2021,1694,False
South East,21/11/2021,6,True
South East,22/11/2021,2437,False
South East,22/11/2021,6,True
South East,23/11/2021,2509,False
South East,23/11/2021,2,True
South East,24/11/2021,2156,False
South East,25/11/2021,2678,False
South East,25/11/2021,9,True
South East,26/11/2021,1747,False
South East,26/11/2021,8,True
South East,27/11/2021,1604,False
South East,27/11/2021,9,True
South East,28/11/2021,1665,False
South East,28/11/2021,4,True
South East,29/11/2021,2604,False
South East,29/11/2021,19,True
South East,30/11/2021,2519,False
South East,30/11/2021,9,True
South East,01/12/2021,2593,False
South East,01/12/2021,21,True
South East,02/12/2021,2130,False
South East,02/12/2021,29,True
South East,03/12/2021,2448,False
South East,03/12/2021,23,True
South East,04/12/2021,2282,False
South East,04/12/2021,32,True
South East,05/12/2021,1705,False
South East,05/12/2021,46,True
South East,06/12/2021,2485,False
South East,06/12/2021,127,True
South East,07/12/2021,2475,False
South East,07/12/2021,249,True
South East,08/12/2021,2605,False
South East,08/12/2021,367,True
South East,09/12/2021,2682,False
South East,09/12/2021,435,True
South East,10/12/2021,2261,False
South East,10/12/2021,536,True
South East,11/12/2021,1261,False
South East,11/12/2021,440,True
South East,12/12/2021,1234,False
South East,12/12/2021,641,True
South East,13/12/2021,1758,False
South East,13/12/2021,1196,True
South West,01/11/2021,805,False
South West,01/11/2021,1,True
South West,02/11/2021,671,False
South West,03/11/2021,994,False
South West,04/11/2021,716,False
South West,05/11/2021,794,False
South West,06/11/2021,596,False
South West,07/11/2021,859,False
South West,08/11/2021,1050,False
South West,09/11/2021,993,False
South West,10/11/2021,958,False
South West,11/11/2021,823,False
South West,12/11/2021,718,False
South West,13/11/2021,871,False
South West,14/11/2021,752,False
South West,15/11/2021,1342,False
South West,16/11/2021,577,False
South West,17/11/2021,467,False
South West,18/11/2021,564,False
South West,19/11/2021,336,False
South West,20/11/2021,303,False
South West,21/11/2021,300,False
South West,22/11/2021,469,False
South West,23/11/2021,1007,False
South West,24/11/2021,843,False
South West,25/11/2021,1077,False
South West,25/11/2021,1,True
South West,26/11/2021,765,False
South West,26/11/2021,1,True
South West,27/11/2021,781,False
South West,27/11/2021,3,True
South West,28/11/2021,744,False
South West,29/11/2021,1123,False
South West,29/11/2021,4,True
South West,30/11/2021,1101,False
South West,30/11/2021,6,True
South West,01/12/2021,1135,False
South West,01/12/2021,4,True
South West,02/12/2021,876,False
South West,02/12/2021,3,True
South West,03/12/2021,1143,False
South West,03/12/2021,12,True
South West,04/12/2021,1212,False
South West,04/12/2021,15,True
South West,05/12/2021,787,False
South West,05/12/2021,15,True
South West,06/12/2021,781,False
South West,06/12/2021,18,True
South West,07/12/2021,502,False
South West,07/12/2021,32,True
South West,08/12/2021,670,False
South West,08/12/2021,60,True
South West,09/12/2021,752,False
South West,09/12/2021,77,True
South West,10/12/2021,885,False
South West,10/12/2021,133,True
South West,11/12/2021,410,False
South West,11/12/2021,78,True
South West,12/12/2021,667,False
South West,12/12/2021,201,True
South West,13/12/2021,585,False
South West,13/12/2021,258,True
West Midlands,01/11/2021,2869,False
West Midlands,01/11/2021,1,True
West Midlands,02/11/2021,2179,False
West Midlands,02/11/2021,3,True
West Midlands,03/11/2021,2088,False
West Midlands,04/11/2021,1801,False
West Midlands,05/11/2021,1322,False
